seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
141,1,1,2500,1970,0.7880,0.7550,325.098,53032.195,140.173,4847.383,0.3732,0.02745,70.2830,1228.0271,0.76843,0.020619,8.1087,19.4998
142,1,1,2500,2050,0.8200,0.7326,158.229,4970.536,87.826,1453.382,0.2551,0.02741,55.6379,1266.8053,0.82673,0.024261,5.7921,14.1895
143,1,1,2500,1760,0.7040,0.7689,225.993,15016.209,119.984,2455.430,0.3512,0.02141,70.3465,1238.0675,0.76605,0.023494,6.9719,16.5215
144,1,1,2500,2099,0.8396,0.5393,190.061,9099.997,99.749,1452.664,0.3068,0.01447,57.7102,872.1627,0.80889,0.016965,6.3323,12.7657
145,1,1,2500,1822,0.7288,0.6837,145.313,6003.013,88.339,1645.884,0.2937,0.02250,61.6136,1834.6055,0.80843,0.021076,5.8502,14.6255
146,1,1,2500,1820,0.7280,0.7379,228.824,16464.701,109.082,1895.638,0.3489,0.01508,58.6209,693.1096,0.79716,0.014666,7.2445,18.4601
147,1,1,2500,1996,0.7984,0.6536,242.302,23791.416,107.018,2607.250,0.3070,0.02121,54.2355,973.3058,0.82267,0.020401,7.0902,20.8743
148,1,1,2500,1867,0.7468,0.6294,224.040,19001.055,123.763,2943.111,0.3893,0.02722,76.8421,1591.7592,0.73743,0.022421,7.0529,16.9824
149,1,1,2500,1867,0.7468,0.7605,156.543,8621.673,91.999,2219.280,0.3149,0.01935,58.9821,1091.5634,0.78865,0.021978,5.9335,14.7109
150,1,1,2500,1316,0.5264,0.5585,417.267,32591.209,151.456,2254.216,0.3204,0.01449,62.4277,618.3239,0.78710,0.019910,9.1511,24.2788
151,1,1,2500,1941,0.7764,0.6615,232.346,12287.229,113.901,2238.485,0.3392,0.02352,59.6020,809.6024,0.78383,0.022294,6.6749,10.0378
152,1,1,2500,2053,0.8212,0.7352,220.803,11735.809,117.788,1672.169,0.3724,0.01445,69.4500,1000.3660,0.73348,0.020671,7.0877,14.2072
153,1,1,2500,1756,0.7024,0.6986,151.967,4379.101,93.842,1195.722,0.3426,0.01325,63.2453,945.6998,0.75876,0.019709,5.5197,11.7381
154,1,1,2500,1973,0.7892,0.6852,182.071,6303.866,111.666,1945.559,0.3795,0.01690,75.1986,1480.2283,0.73775,0.024417,6.1765,13.7159
155,1,1,2500,2048,0.8192,0.6684,178.420,4647.924,97.900,1724.597,0.2771,0.02929,63.1832,1839.7620,0.81980,0.028704,6.5975,15.1381
