seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
138,1,1,2500,2182,0.8728,0.5533,248.468,16121.651,114.656,1220.463,0.3386,0.00976,59.0650,641.0765,0.78273,0.017830,7.0942,17.1852
139,1,1,2500,1921,0.7684,0.6906,193.204,11679.926,99.389,1037.465,0.3391,0.01835,60.1750,1013.4410,0.77886,0.020203,6.4124,16.5192
140,1,1,2500,1748,0.6992,0.4576,540.438,114774.359,206.997,12071.036,0.4220,0.03625,87.1296,2491.0457,0.77914,0.014720,10.5551,39.7314
141,1,1,2500,1962,0.7848,0.7548,308.473,46873.328,139.245,4943.044,0.3753,0.02829,71.9103,1269.4307,0.76669,0.021865,8.0025,18.9400
142,1,1,2500,2030,0.8120,0.7331,143.845,4090.693,88.406,1551.310,0.2833,0.02396,59.5073,1254.6187,0.80296,0.022120,5.6711,14.1748
143,1,1,2500,1743,0.6972,0.7655,198.952,9587.854,110.826,1887.600,0.3332,0.01981,68.5330,1335.0721,0.77988,0.023436,6.6433,15.0603
144,1,1,2500,2076,0.8304,0.5423,169.335,9332.183,91.923,1307.932,0.3004,0.01508,55.5522,741.0673,0.80653,0.017599,5.8878,11.2233
145,1,1,2500,1798,0.7192,0.6818,122.760,3137.202,86.545,1391.615,0.3152,0.02168,66.8823,1774.2368,0.78720,0.021070,5.5713,14.7430
146,1,1,2500,1791,0.7164,0.7356,188.138,10551.901,110.905,2236.689,0.3827,0.01479,70.6738,1048.4918,0.75213,0.015307,6.8356,16.6547
147,1,1,2500,1966,0.7864,0.6551,209.813,15601.487,106.144,2682.122,0.3180,0.02055,59.3164,1053.9731,0.80323,0.019511,7.0769,21.6184
148,1,1,2500,1851,0.7404,0.6291,211.043,18395.189,120.263,2737.849,0.3924,0.02383,78.1764,1714.5873,0.72913,0.022688,6.8991,16.0840
149,1,1,2500,1852,0.7408,0.7594,147.652,8274.229,92.702,2308.619,0.3287,0.01764,62.6075,1114.0416,0.77699,0.020368,5.8415,14.5390
150,1,1,2500,1289,0.5156,0.5537,294.609,13760.816,139.507,2257.721,0.3544,0.01769,74.6319,1314.4176,0.75826,0.022718,7.9075,17.4298
151,1,1,2500,1911,0.7644,0.6626,205.842,10687.004,110.718,2423.196,0.3544,0.02101,63.1163,988.6279,0.76726,0.019994,6.3678,9.2101
152,1,1,2500,2036,0.8144,0.7335,202.869,8991.983,117.459,1792.602,0.3851,0.01474,74.3725,1167.9972,0.71890,0.020540,6.8246,13.2499
153,1,1,2500,1744,0.6976,0.6972,141.136,4274.811,91.505,1154.292,0.3528,0.01301,64.6123,930.5317,0.74282,0.017882,5.3381,12.0909
154,1,1,2500,1963,0.7852,0.6856,166.575,5273.027,109.069,2011.804,0.3798,0.01756,76.5231,1465.9376,0.72611,0.024109,5.9710,13.7593
155,1,1,2500,2039,0.8156,0.6689,173.760,4827.377,95.626,1678.905,0.2736,0.02973,62.2001,1768.3810,0.82156,0.028765,6.4420,14.8168
156,1,1,2500,2008,0.8032,0.7369,151.051,5380.745,92.802,1442.478,0.3241,0.02367,63.2656,1117.0090,0.78773,0.024324,5.8334,14.0383
157,1,1,2500,1681,0.6724,0.6668,211.337,14077.710,104.388,1686.401,0.2460,0.02062,59.3963,1027.6497,0.85383,0.016793,7.8405,28.6216
158,1,1,2500,1719,0.6876,0.6432,164.437,5564.187,94.048,857.689,0.2860,0.01529,60.8334,918.1588,0.80958,0.017259,6.6874,20.4714
159,1,1,2500,2031,0.8124,0.6333,184.072,6995.337,122.766,3148.299,0.3980,0.02761,85.9839,2040.1564,0.71494,0.028612,6.2741,13.5274
160,1,1,2500,1528,0.6112,0.6835,121.377,3756.672,74.691,1086.325,0.2569,0.01335,49.7268,684.5859,0.82360,0.015926,5.3389,16.0415
161,1,1,2500,1999,0.7996,0.7201,220.062,10942.908,100.636,1043.350,0.3051,0.01448,52.0257,719.6426,0.82330,0.012983,6.8099,14.3609
162,1,1,2500,2222,0.8888,0.4055,422.689,59017.363,133.670,1615.627,0.3340,0.00792,51.6286,602.1992,0.82235,0.012081,8.7563,18.5419
163,1,1,2500,2171,0.8684,0.3555,251.036,12052.104,107.253,1242.505,0.3030,0.01562,50.4817,491.0663,0.80224,0.018170,7.0400,14.8760
164,1,1,2500,2130,0.8520,0.6880,300.163,18797.877,153.315,2700.833,0.4549,0.01273,85.4602,1096.1174,0.67577,0.015741,7.6236,13.8432
165,1,1,2500,2097,0.8388,0.7058,208.211,14201.008,119.845,3225.225,0.3753,0.02852,78.4025,1873.1108,0.75643,0.021753,6.5837,12.6828
166,1,1,2500,1883,0.7532,0.6969,191.334,6981.361,103.549,1079.787,0.3453,0.01534,62.9075,1067.9458,0.78972,0.015524,6.3984,13.1269
