seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
164,1,1,2500,2122,0.8488,0.6918,281.875,16841.305,147.426,2637.621,0.4446,0.01347,85.0947,1309.9474,0.68743,0.016695,7.4953,13.4330
165,1,1,2500,2108,0.8432,0.7047,228.396,16100.719,117.517,2784.137,0.3569,0.02549,70.6887,1589.9598,0.77943,0.020566,6.7239,13.2189
166,1,1,2500,1865,0.7460,0.6951,196.779,10224.838,105.284,1452.054,0.3310,0.01628,63.4866,1000.2720,0.80453,0.013074,6.6408,15.1436
167,1,1,2500,2115,0.8460,0.6396,258.807,28348.576,121.603,3823.338,0.3446,0.02470,63.0874,1238.1000,0.79511,0.017188,6.8688,14.3007
168,1,1,2500,1951,0.7804,0.5810,237.713,12269.979,117.392,1438.124,0.3867,0.01809,65.7731,1103.4500,0.74582,0.017006,7.0565,14.4984
169,1,1,2500,1901,0.7604,0.7071,172.750,7888.795,100.972,1842.210,0.3402,0.02042,62.0138,692.1741,0.75600,0.019017,6.3644,15.7204
170,1,1,2500,1847,0.7388,0.6815,156.352,8179.190,89.516,1095.502,0.2604,0.02411,62.2683,1384.4380,0.82791,0.026106,6.3182,19.3266
171,1,1,2500,1712,0.6848,0.6941,186.725,9286.534,92.296,1264.066,0.2436,0.02213,54.0672,1033.5664,0.84025,0.020631,6.5286,16.9265
172,1,1,2500,2003,0.8012,0.6254,256.378,22771.543,121.751,2530.041,0.3385,0.02306,65.5900,917.5348,0.80611,0.016754,7.6313,18.6976
173,1,1,2500,1915,0.7660,0.7099,243.102,15863.850,127.811,2983.520,0.3698,0.02630,75.9645,1517.6958,0.76108,0.022629,7.5669,17.6041
174,1,1,2500,1755,0.7020,0.5799,269.348,13293.549,127.238,1397.214,0.3801,0.00900,66.1108,676.0890,0.77085,0.013683,7.7170,15.9837
175,1,1,2500,2014,0.8056,0.7255,244.804,24278.258,143.254,4826.891,0.4366,0.02388,90.0768,1455.4117,0.69694,0.023189,7.0487,16.0975
176,1,1,2500,2138,0.8552,0.6633,244.471,28321.922,109.746,2690.275,0.3056,0.02098,57.1333,989.6860,0.82361,0.017028,6.6970,16.5969
177,1,1,2500,2033,0.8132,0.7210,257.911,20600.273,116.772,2410.598,0.3369,0.02327,62.5824,1402.1796,0.78594,0.024986,6.9996,14.5855
178,1,1,2500,2097,0.8388,0.4872,181.466,8060.024,87.302,1009.439,0.2517,0.01229,48.5827,883.7268,0.82591,0.017144,6.0523,14.3302
179,1,1,2500,2250,0.9000,0.4687,514.941,54082.137,155.067,1919.811,0.3125,0.01870,53.4575,457.0868,0.86049,0.012133,10.3469,28.0617
