seed,chunk_x,chunk_z,total_cells,open_cells,open_fraction,tile_entropy,isovist_area_mean,isovist_area_var,perimeter_mean,perimeter_var,occlusivity_mean,occlusivity_var,jaggedness_mean,jaggedness_var,clustering_mean,clustering_var,drift_mean,drift_var
103,1,1,2500,1726,0.6904,0.6945,280.176,25753.699,125.613,2786.189,0.3480,0.02575,65.5581,1034.7225,0.84666,0.012348,7.3036,14.6252
104,1,1,2500,2059,0.8236,0.7833,281.650,19312.705,125.375,2591.105,0.3474,0.02669,62.1107,1244.5786,0.78335,0.020378,7.3414,16.0228
105,1,1,2500,1928,0.7712,0.6524,118.646,4052.990,74.085,1049.430,0.2424,0.01693,54.1447,1326.8499,0.82731,0.021313,5.1255,13.1778
106,1,1,2500,1811,0.7244,0.7755,255.098,18256.553,124.208,3655.440,0.3258,0.04365,64.9219,1351.4856,0.76744,0.026656,7.0353,16.7592
107,1,1,2500,1920,0.7680,0.7113,258.320,20134.781,110.338,2442.088,0.3003,0.02243,54.1693,784.0302,0.83610,0.013559,7.1282,13.2879
108,1,1,2500,2023,0.8092,0.4464,256.150,11422.790,107.913,1409.272,0.2504,0.01102,50.0469,670.2459,0.85745,0.014560,8.1039,21.8862
109,1,1,2500,1695,0.6780,0.7438,190.357,14282.354,99.589,2899.110,0.3188,0.02637,57.1416,1232.4811,0.81077,0.017573,5.6033,10.4535
110,1,1,2500,2107,0.8428,0.7725,270.094,18357.840,125.251,2590.722,0.3824,0.01920,63.6356,861.9437,0.76189,0.021318,7.0018,12.9065
111,1,1,2500,1624,0.6496,0.7304,122.810,3001.077,77.773,1206.237,0.2260,0.02567,56.4454,1412.4948,0.85422,0.020638,5.6631,12.2692
112,1,1,2500,2104,0.8416,0.5308,380.234,50110.812,156.128,4593.563,0.3766,0.02703,71.4083,1072.4340,0.76080,0.022617,8.9410,28.4267
113,1,1,2500,2163,0.8652,0.4736,331.978,32380.572,178.819,5326.365,0.4634,0.02361,103.9762,1753.9202,0.71016,0.021154,8.7947,24.4874
114,1,1,2500,1817,0.7268,0.7295,197.390,10692.633,89.802,1357.022,0.2241,0.01955,47.4248,951.1318,0.84939,0.021603,6.2875,14.2185
115,1,1,2500,2165,0.8660,0.7237,360.360,49330.469,151.182,4733.042,0.4073,0.01605,71.1629,1273.2471,0.76963,0.013659,8.4959,22.7329
116,1,1,2500,1788,0.7152,0.6076,407.053,55232.250,139.329,2709.294,0.2656,0.02087,62.2882,1229.5520,0.85358,0.018796,10.2392,33.5203
117,1,1,2500,2148,0.8592,0.4321,311.928,35229.688,147.532,4998.555,0.3900,0.02622,77.8351,1516.7585,0.72878,0.021946,8.3189,20.1697
